station_name,station_type,province,city,district,start_time,end_time,up_arrival_delay_number,down_arrival_delay_number,up_departure_delay_number,down_depature_delay_number,wind,weather,temperature,major_holiday
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/8 0:00,2019/10/8 1:00,0,0,0,0,moderate breeze from the W,showers,11,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/8 1:00,2019/10/8 2:00,0,0,0,0,moderate breeze from the W,showers,11,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/8 2:00,2019/10/8 3:00,0,0,0,0,moderate breeze from the W,showers,11,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/8 3:00,2019/10/8 4:00,0,0,0,0,moderate breeze from the W,showers,11,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/8 4:00,2019/10/8 5:00,0,0,0,0,moderate breeze from the W,showers,11,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/8 5:00,2019/10/8 6:00,0,0,0,0,moderate breeze from the W,showers,11,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/8 6:00,2019/10/8 7:00,0,0,0,0,moderate breeze from the W,showers,11,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/8 7:00,2019/10/8 8:00,0,0,0,0,moderate breeze from the W,showers,11,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/8 8:00,2019/10/8 9:00,0,0,0,0,moderate breeze from the W,showers,11,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/8 9:00,2019/10/8 10:00,0,0,0,0,moderate breeze from the W,showers,11,False
Yimianpobei Railway Station,Not Junction Station,Heilongjiang,Haerbin,Shangzhi,2019/10/8 10:00,2019/10/8 11:00,0,0,0,0,moderate breeze from the W,showers,11,False
